hospital_name,city,county,state,zip_code,address,hospital_type,System,Beds,link_financial_assistance,financial_assistance_info,fap_link,policy_available,qualifying_incom_free_care,qualifying_incom_discounted_care,asset_test,provision_for_medical_bill,residency_restriction,reports_unpaid_bills,uses_third_party,sells_debt,sues_patients,garnishes_wages,restricts_care,
MOUNT NITTANY MEDICAL CENTER,STATE COLLEGE,,PA,,1800 EAST PARK AVE,Other not-for-profit (including NFP Corporation),No,260,Yes-- Billing and insurance --> financial assistance,no-- no search bar,http://www.mountnittany.org/docs/default-source/default-document-library/billing-insurance/mount-nittany-financial-assistance-policy-6-28-16-2---036936.pdf?sfvrsn=11827753_3,included in FAP,family income at or below 250% FPL,251-400% on sliding scale (according to Laura Moss),Not mentioned in the policy but not a practice of the hospital according to Laura Moss,Not mentioned in the policy but not a practice of the hospital according to Laura Moss,Not mentioned in the policy but not a practice of the hospital according to Laura Moss,Yes this is a practice of the hospital according to the FAP,Yes this is a practice of the hospital according to the FAP,Not mentioned in the policy but is not a practice of the hospital according to Laura Moss,Not mentioned in the policy but is not a practice of the hospital according to Laura Moss,Not mentioned in the policy but is not a practice of the hospital according to Laura Moss,Not a practice of the hospital according to the FAP,
ST CHRISTOPHER'S HOSPITAL FOR CHILDREN,PHILADELPHIA,,PA,,160 EAST ERIE AVE,Other not-for-profit (including NFP Corporation),Tower Health,180,Yes -- billing --> financial assistance,yes,https://towerhealth.org/sites/default/files/pdfs/2021-04/St.%20Chris%20Patient%20Financial%20Assistance%20PolicyENGLISH.pdf,https://towerhealth.org/sites/default/files/pdfs/2021-04/Internal-External%20Collections%20042021.pdf,yes--= or <200% FPL,201-400% FPL on sliding scale,no,no,no,yes according to collections policy,yes according to collections policy,Not mentioned in the policy but is not a practice of the hospital according to Jessica Bezler,Not mentioned in the policy but is not a practice of the hospital according to Jessica Bezler,Not mentioned in the policy but is not a practice of the hospital according to Jessica Bezler,Not mentioned in the policy but is not a practice of the hospital according to Jessica Bezler,
HOSPITAL DEL MAESTRO,SAN JUAN,,PR,,SERGIO CUEVAS BUSTAMANTE STREET 550,"Corporation, Investor-owned, for-profit",No,125,,"no, no search bar",,,,,,,,,,,,,,
"HOSPITAL PAVIA HATO REY, INC",HATO REY,,PR,,AVE PONCE DE LEON 435,"Corporation, Investor-owned, for-profit",United Medical Corporation,180,,"no, no search bar",,,,,,,,,,,,,,
SAN JORGE CHILDRENS AND WOMEN HOSPITAL ,SAN JUAN,,PR,,258 SAN JORGE STREET,"Corporation, Investor-owned, for-profit",United Medical Corporation,167,,,,,,,,,,,,,,,,
CARDIOVASCULAR CENTER OF PUERTO RICO AND THE CARIBBEAN,RIO PIEDRAS,,PR,,"AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM","State, Government, non-federal",Puerto Rico Department of Public Health,164,,,,,,,,,,,,,,,,
ADMIN DE SERVICIOS MEDICOS PUERTO RIC,SAN JUAN,,PR,,BO MONACILLO CARR NUM 22,,,,,,,,,,,,,,,,,,,
HOSPITAL METROPOLITANO DE LA MONTANA,BDA NUEVA,,PR,,CALLE ISAAC GONZALEZ ESQUINA LEDESMA,,,,,,,,,,,,,,,,,,,
LANDMARK MEDICAL CENTER,WOONSOCKET,,RI,,115 CASS AVENUE,Other not-for-profit (including NFP Corporation),Prime Healthcare,140,no,yes,https://www.landmarkmedical.org/documents/Landmark-FAP.PDF,practices included in FAP,< or = 350% FPL,< or = 450% FPL,yes according to FAP,insured patients with family income at or below 450% and bill exceeds 10% annual income,no,"conditionally-- if patient does not apply for financial assistance or is denied, and fails to pay their bill (listed under ECAs in FAP)",yes according to FAP,"conditionally-- if patient does not apply for financial assistance or is denied, and fails to pay their bill (listed under ECAs in FAP)","conditionally-- if patient does not apply for financial assistance or is denied, and fails to pay their bill (listed under ECAs in FAP)","no, not for patients eligible under this policy","conditionally-- if patient does not apply for financial assistance or is denied, and fails to pay their bill (listed under ECAs in FAP)",
WESTERLY HOSPITAL,WESTERLY,,RI,,25 WELLS STREET,Other not-for-profit (including NFP Corporation),Yale New Haven Health,87,"yes, patients + visitors --> financial assistance",yes,https://www.westerlyhospital.org/-/media/Files/YNHHS/financial-assistance-policy/2022/eng/YNHHS_Financial_Assistance_Program_Policy_Current_updated_12092021_MF.ashx,FAP includes collections actions,family gross annual income at or below 250% FPL,family gross annual income between 251-550% FPL ; for insured patients: the discount will be applied to the patient’s account balance that remains after payments from insurance or third-party payers are applied,no,"Yes, on case-by-case basis according to Fiona Phelan",must live in the United States,Not mentioned in the policy and is not a practice of the hospital according to Fiona Phelan,yes according to FAP,Not mentioned in the policy and is not a practice of the hospital according to Fiona Phelan,Not mentioned in the policy and is not a practice of the hospital according to Fiona Phelan,Liens are a practice of the hospital according to the FAP. Garnishing of wages is not mentioned in the policy but is not a practice of the hospital according to Fiona Phelan,Not mentioned in the policy and is not a practice of the hospital according to Fiona Phelan,
MUSC HEALTH COLUMBIA MEDICAL CENTER DOWNTOWN,COLUMBIA,,SC,,120 GATEWAY CORPORATE BLVD,"Corporation, Investor-owned, for-profit",MUSC Health,216,no,yes,https://muschealth.org/-/sm/health/patients-visitors/billing/f/financial-assistance-policy-update-with-2022-fpl.ashx?la=en,"no, not found -- collections actions are listed in plain language summary ",uninsured: below 200% FPG ; insured: below 100% FPG,uninsured: 201-250% FPG ; insured: 101-140% FPG,Yes according to FAP,"Not mentioned in the billing and collection policy but not a practice of the hospital, according to Montez Seabrook",US citizen and lives in South Carolina,yes according to plain language summary financial assistance policy,yes according to FAP,"Not mentioned in any public documents, but not a practice of the hospital, according to Montez Seabrook","Yes, but not typically, according to the Plain Language Summary","Liens: Yes, according to the Plain Language Summary

Wages: Yes, but not typically, according to the Plain Language Summary","Not mentioned in any public documents, but not a practice of the hospital, according to Montez Seabrook",
KERSHAW HEALTH,CAMDEN,,SC,,1315 ROBERTS STREET,"Corporation, Investor-owned, for-profit",MUSC Health,80,no,yes,https://muschealth.org/-/sm/health/patients-visitors/billing/f/financial-assistance-policy-update-with-2022-fpl.ashx?la=en,"no, not found -- collections actions are listed in plain language summary ",uninsured: < 200% FPG ; insured: < 100% FPG,uninsured: 201-250% FPG ; insured: 101-140% FPG,Yes according to FAP,no,US citizen and lives in South Carolina,yes according to plain language summary financial assistance policy,yes according to FAP,"no, not mentioned in FAP",generally no according to plain language summary financial assistance policy,yes may place liens (according to plain language financial assistance policy) ; generally does not garnish wages,no,
COASTAL CAROLINA HOSPITAL,HARDEEVILLE,,SC,,1000 MEDICAL CENTER DRIVE,"Corporation, Investor-owned, for-profit",TENET Healthcare Corporation,35,yes-- financial resources ,financial resources and financial assistance program,no FAP available on website,"no, not available on website",Unclear - no avaliable policy,may be considered for financial assistance if household income is at or below 200% FPL -- according to financila assistance program webpage https://www.hiltonheadregional.com/patients/financial-assistance-program,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,
BEAUFORT COUNTY MEMORIAL HOSPITAL,BEAUFORT,,SC,,955 RIBAUT RD,"County, Government, non-federal",No,197,no,yes,https://www.bmhsc.org/assets/documents/billing-and-financial-aid-forms/financial-assistance-policy(acc-final)ltr.pdf,https://www.bmhsc.org/assets/documents/billing-and-financial-aid-forms/billing-and-collection-policy-(acc-final)ltr.pdf,patient income at or below 200% FPL,patient income 201-320% FPL,"No, eligibility is only based on income",yes- catastrophic cost: patient's bill exceeds 20% of their annual income,no,"Yes, this is a practice of the hospital under certain circumstances according to the Billing and Collection policy",yes according to billing and collection policy ,"Yes, this is a practice of the hospital under certain circumstances according to the Billing and Collection policy. According to Dee Robinson, the hospital has not sold debt since September 2018.","Yes, this is a practice of the hospital under certain circumstances according to the Billing and Collection policy","Yes, this is a practice of the hospital under certain circumstances according to the Billing and Collection policy","No, not mentioned in the policy as an ECA and is not a practice of the hospital according to Dee Robinson",
EDGEFIELD COUNTY HEALTHCARE ,EDGEFIELD,,SC,,300 RIDGE MEDICAL PLAZA,"County, Government, non-federal",No,25,yes link is found directly on every single page,no general search box-- only to search for doctor,https://myech.org/wp-content/uploads/2021/08/Charity-Policy-20190708-ENGLISH.pdf,"no, not available on website",gross family income at or below 200% FPG,None specified,"yes, assets reviewed for qualification according to FAP","yes, for patient's liability that exceeds 20% patient's and/or guarantor's annual income ",must be legal resident of South Carolina,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,
UNION MEDICAL CENTER,UNION,,SC,,322 WEST SOUTH STREET,"Hospital district or authority-Government, non-federal",Spartanburg Regional Healthcare System,50,yes-- patients and visitors --> financial asisstance program,yes,no FAP available on website -- Financial Assistance program flyer gives some information https://www.spartanburgregional.com/sites/default/files/2022-02/Financial-Assistance-Program_Flyer_8.5x11_2022.pdf ,"no, not publically available",household income at or below 200% FPL according to Financial Assistance program flyer,"based on sliding scale of 200-300% FPL from discount of 75% to 65% (according to Brian Earnest, vice president of Revenue Cycle for SRHS)",yes-- considers liquid assets but does not consider hard assets (realestate and vehicles) for eligibility,"Yes. The outstanding balance must exceed more than 25% of total documented household income , according to Brian Earnest, vice president of Revenue Cycle for SRHS","Not mentioned in the policy, but no residency restriction according to Brian Earnest, vice president of Revenue Cycle for SRHS","Not mentioned in the policy, but is a practice of the hospital (after all other efforts are exhausted) according to Brian Earnest, vice president of Revenue Cycle for SRHS","Not mentioned in the policy, but is a practice of the hospital according to Brian Earnest, vice president of Revenue Cycle for SRHS","Not mentioned in the policy, but not a practice of the hospital according to Brian Earnest, vice president of Revenue Cycle for SRHS","Not mentioned in the policy, but not a practice of the hospital according to Brian Earnest, vice president of Revenue Cycle for SRHS","Not mentioned in the policy, but not a practice of the hospital according to Brian Earnest, vice president of Revenue Cycle for SRHS","Not mentioned in the policy, but not a practice of the hospital according to Brian Earnest, vice president of Revenue Cycle for SRHS",
PRISMA HEALTH GREER MEMORIAL HOSPITAL,GREER,,SC,,830 SOUTH BUNCOMBE ROAD,Other not-for-profit (including NFP Corporation),Prisma Health - Midlands,82,no,yes,https://prismahealth.org/getmedia/8469c19a-7332-47ce-8220-dae26fa1ae63/Financial-Arrangements-and-Assistance-English.doc,https://prismahealth.org/getmedia/a9993c42-aa43-4a54-ba27-576bb3e1a070/Billing-and-Collection-Policy-Prisma-Health-Feb-2020.docx,at or below 200% FPG,> 200% FPG up to 400% FPG on sliding scale,"yes, assets will be reviewed to decide the level of assistance according to FAP",patient’s obligation to Prisma Health exceeds two (2) times the household annual gross income (according to FAP),must live in the United States,"Yes, this is a practice of the hospital according to the FAP","Yes, This is a practice of the hospital according to the FAP","No, Not mentioned in the policy but not a practice of the hospital according to Sandy Dees",Action is allowed by the policy but the hospital does not currently take this action according to Sandy Dees,Action is allowed by the policy but the hospital does not currently take this action according to Sandy Dees,"No, not a practice of the hospital according to the billing and collection policy",
PRISMA HEALTH TUOMEY HOSPITAL,SUMTER,,SC,,129 N WASHINGTON ST,Other not-for-profit (including NFP Corporation),Prisma Health - Midlands,184,no,yes,https://prismahealth.org/getmedia/8469c19a-7332-47ce-8220-dae26fa1ae63/Financial-Arrangements-and-Assistance-English.doc,https://prismahealth.org/getmedia/a9993c42-aa43-4a54-ba27-576bb3e1a070/Billing-and-Collection-Policy-Prisma-Health-Feb-2020.docx,at or below 200% FPG,> 200% FPG up to 400% FPG on sliding scale,"yes, assets will be reviewed to decide the level of assistance according to FAP",patient’s obligation to Prisma Health exceeds two (2) times the household annual gross income (according to FAP),must live in the United States,"Yes, this is a practice of the hospital according to the FAP","Yes, This is a practice of the hospital according to the FAP","No, Not mentioned in the policy but not a practice of the hospital according to Sandy Dees",Action is allowed by the policy but the hospital does not currently take this action according to Sandy Dees,Action is allowed by the policy but the hospital does not currently take this action according to Sandy Dees,"No, not a practice of the hospital according to the billing and collection policy",
HAMPTON REGIONAL MEDICAL CENTER,VARNVILLE,,SC,,595 WEST CAROLINA AVENUE,Other not-for-profit (including NFP Corporation),No,32,yes -- patient and visitors --> financial assistance,"no, no search bar",https://www.hamptonregional.org/wp-content/uploads/2021/11/Uninsured_Financial_Assistance_Policy_FAP_FINAL_updated_5.20.20.pdf,"no, but info in FAP; billing and collections policy available by contacting financial counselor",uninsured patients with household income at or below 200% FPL,income 201-400% FPL according to FPL chart at bottom of FAP,"yes, assets may be considered according to FAP but income is the main determining factor for financial assistance",no,must live in Hampton County ; patients living outside service area will be considered on case-by-case basis (according to FAP),"yes, according to FAP",yes according to FAP,unclear - not mentioned in policy,Unclear; not mentioned in FAP,"yes, according to FAP",unclear - not mentioned in policy,
ROPER ST FRANCIS MOUNT PLEASANT HOSPITAL,MOUNT PLEASANT,,SC,,3510 HIGHWAY 17 NORTH SUITE 140,Other not-for-profit (including NFP Corporation),Roper St. Francis Healthcare,79,yes -- patient and visitors --> financial assistance,yes,https://www.rsfh.com/upload/docs/Patients%20and%20Visitors/Financial-Assistance-Policy-English.pdf,https://www.rsfh.com/upload/docs/Patients%20and%20Visitors/Billing-and-Collections-Policy-2020.pdf,uninsured and underinsured patients at or below 200% FPL,patients income 201-400% FPL on sliding scale,FAP states assets are reviewed to determine financial aid eligibility,potential funding/financial assistance provided for uninsured self-pay patients and uninsured non-patient accounts total charges of $5000 or above ; hardship settlement discount (for SC residents only) (billing and collections policy pg 8): balance due over 20% household financial resources  ,no,"Not mentioned in this policy, but this is an action the collection agency may take according to Robert Briggs",Yes according to the billing policy,No according to the billing policy,legal action only pursued if it is recommended by any of the self-pay billing entities ; also needs approval from CFO and corporate legal counsel,No these are not actions the hospital will take according to the billing policy,No according to the billing policy,
SELF REGIONAL HEALTHCARE,GREENWOOD,,SC,,1325 SPRING STREET,"State, Government, non-federal",No,304,yes-- healthcare info --> financial aid policy,yes,https://www.selfregional.org/wp-content/uploads/2020/07/QSP-ADM-MI-0011-Medical-Financial-Assistance-Program.docx,"no, must be obtained from Patient Financial Services according to FAP",at or below 200% FPG,unclear -- must be approved and sign payment plan? ,"yes, liquid asset limit",yes-- catastrophic medical expenses (according to FAP)-- patient's liability exceeds 20% patient’s and/or guarantor’s annual income,"yes, must be legal resident of South Carolina",Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,
AVERA ST MARY'S HOSPITAL,PIERRE,,SD,,801 E SIOUX,"Church-operated, Non-government, not-for-profit",Avera Health,117,no -- have to go through patient and visitors --> scroll down to bill pay and charity care --> find financial assistance hyperlink,yes,https://www.avera.org/app/files/public/4735/avera-financial-assistance-corp.pdf,included in FAP,uninsured and underinsured patients with family income at or below 250% FPL,uninsured and underinsured patients with family income between 250% to 400% FPL ; can receive up to 90% off total charges,yes assets are considered according to FAP,"Not mentioned in the FAP, but not a practice of the hospital according to Cale Feller",Must live in the United States to receive charity care,"This is not a practice of the hospital, but is a practice of third party collection agencies according to the FAP",yes according to FAP,"Not mentioned in the policy, but not a practice of the hospital according to Cale Feller","Not mentioned in the policy, but is a practice of the hospital (after all other efforts are exhausted) according to Cale Feller","This is not a practice of the hospital, but is a practice of third party collection agencies according to the FAP","Not mentioned in the policy, but not a practice of the hospital according to Cale Feller",
AVERA GETTYSBURG HOSPITAL,GETTYSBURG,,SD,,606 EAST GARFIELD,"Church-operated, Non-government, not-for-profit",Avera Health,60,no,yes -- takes you to financial assistance forms,https://www.avera.org/app/files/public/4735/avera-financial-assistance-corp.pdf,included in FAP,uninsured and underinsured patients with family income at or below 250% FPL,uninsured and underinsured patients with family income between 250% to 400% FPL ; can receive up to 90% off total charges,yes assets are considered according to FAP,"Not mentioned in the FAP, but not a practice of the hospital according to Cale Feller",Must live in the United States to receive charity care,"This is not a practice of the hospital, but is a practice of third party collection agencies according to the FAP",yes according to FAP,"Not mentioned in the policy, but not a practice of the hospital according to Cale Feller","Not mentioned in the policy, but is a practice of the hospital (after all other efforts are exhausted) according to Cale Feller","This is not a practice of the hospital, but is a practice of third party collection agencies according to the FAP","Not mentioned in the policy, but not a practice of the hospital according to Cale Feller",
AVERA ST BENEDICT HEALTH CENTER - CAH,PARKSTON,,SD,,401 WEST GLYNN DRIVE,"Church-operated, Non-government, not-for-profit",Avera Health,99,no,yes -- takes you to financial assistance forms,https://www.avera.org/app/files/public/4735/avera-financial-assistance-corp.pdf,included in FAP,uninsured and underinsured patients with family income at or below 250% FPL,uninsured and underinsured patients with family income between 250% to 400% FPL ; can receive up to 90% off total charges,yes assets are considered according to FAP,"Not mentioned in the FAP, but not a practice of the hospital according to Cale Feller",Must live in the United States to receive charity care,"This is not a practice of the hospital, but is a practice of third party collection agencies according to the FAP",yes according to FAP,"Not mentioned in the policy, but not a practice of the hospital according to Cale Feller","Not mentioned in the policy, but is a practice of the hospital (after all other efforts are exhausted) according to Cale Feller","This is not a practice of the hospital, but is a practice of third party collection agencies according to the FAP","Not mentioned in the policy, but not a practice of the hospital according to Cale Feller",
PHS INDIAN HOSPITAL AT EAGLE BUTTE,EAGLE BUTTE,,SD,,24276 166TH AIRPORT ROAD,"Indian Service, Government, federal",U.S. Indian Health Service,8,,,,,,,,,,,,,,,,
MONUMENT HEALTH STURGIS HOSPITAL,STURGIS,,SD,,2140 JUNCTION AVE,Other not-for-profit (including NFP,Monument Health,101,"Yes, under ""patients and visitors"" tab/menu",Yes,https://monument.health/wp-content/uploads/2021/07/Monument-Health-Charity-Care-Discounting-Policy.pdf,No publicly available billing and collections policy,Below 250% FPL,250-300% FPL,Yes,"Yes, catastrophic hardship. Patients whose income exceeds 250% FPL and bills exceed 15% annual income",Yes (Monument Health Service Area),Not a practice of the hospital according to Dan Daly,Yes this is a practice of the hospital according to Dan Daly,Not a current practice of the hospital according to Dan Daly,This is a practice of the hospital according to Dan Daly,This is a practice of the hospital according to Dan Daly,no data,
SANFORD WEBSTER MEDICAL CENTER ,WEBSTER,,SD,,1401 W FIRST ST POST OFFICE BOX 489,Other not-for-profit (including NFP Corporation),Sanford Health,20,"yes, link right on homepage and very easy to find",yes,https://www.sanfordhealth.org/-/media/org/files/patients-and-visitors/billing-insurance/2021/financial-assistance---enterprise_english_final.pdf,https://www.sanfordhealth.org/-/media/org/files/patients-and-visitors/billing-insurance/2021/collections---enterprise_english_final.pdf,Below 225% FPL,225-375% FPL on sliding scale,"Yes, assets may be considered according to FAP",Yes (total amount of debt),No,"Yes, conditionally and only after reasonable efforts are made",Yes according to FAP,"Not mentioned in the billing and collection policy but not a practice of the hospital, according to Michelle Bruhn.","Yes, conditionally and only after reasonable efforts are made","Yes, conditionally and only after reasonable efforts are made","Not mentioned in the billing and collection policy but not a practice of the hospital, according to Michelle Bruhn.",
BENNETT COUNTY HOSPITAL AND NURSING HOME ,MARTIN,,SD,,102 MAJOR ALLEN POST OFFICE BOX 70D,Other not-for-profit (including NFP Corporation),No,62,no -- resources --> patients --> charity care policy,no search bar,https://bennettcountyhospital.com/wp-content/uploads/2019/10/CharityCarePolicyBCH.pdf,no,family income at or below 200% FPG,Uninsured or Underinsured for a medically necessary service and who have family income 201-400% FPG on sliding scale,Assets may be considered-- Assets asked for in Charity Care Application,Yes - patients who were offered health insurance and chose not to participate in the employer’s health plan AND whose income is in excess of 400% of the FPG = 50% discount applied,no,Hospital CEO Michael Christensen refused to provide pollicy,Hospital CEO Michael Christensen refused to provide pollicy,Hospital CEO Michael Christensen refused to provide pollicy,Hospital CEO Michael Christensen refused to provide pollicy,"Hospital CEO Michael Christensen refused to provide pollicy, but said garnishment is not ""typically"" used","No policy disclosed, but not a practice of the hospital, according to CEO Michael Christensen",
SANFORD CANTON-INWOOD MEDICAL CENTER - CAH,CANTON,,SD,,440 NORTH HIAWATHA DRIVE,Other not-for-profit (including NFP Corporation),Sanford Health,11,"yes, link right on homepage and very easy to find",yes,https://www.sanfordhealth.org/-/media/org/files/patients-and-visitors/billing-insurance/2021/financial-assistance---enterprise_english_final.pdf,https://www.sanfordhealth.org/-/media/org/files/patients-and-visitors/billing-insurance/2021/collections---enterprise_english_final.pdf,Below 225% FPL,225-375% FPL on sliding scale,"yes, assets may be considered according to FAP",Yes (total amount of debt),No,"Yes, conditionally and only after reasonable efforts are made",Yes according to FAP,"Not mentioned in the billing and collection policy but not a practice of the hospital, according to Michelle Bruhn.","Yes, conditionally and only after reasonable efforts are made","Yes, conditionally and only after reasonable efforts are made","Not mentioned in the billing and collection policy but not a practice of the hospital, according to Michelle Bruhn.",
LIFESCAPE,SIOUX FALLS,,SD,,2501 W 26TH ST,Other not-for-profit (including NFP Corporation),No,114,yes at bottom of page ; also direct link to billing and collections,yes,https://d1e7v5mylx61rx.cloudfront.net/general-uploads/Financial_Assistance_Policy_-_English.pdf,https://d1e7v5mylx61rx.cloudfront.net/general-uploads/Billing_and_Collections_Policy.pdf,family income at or below 100% FPL,family income over 100 - below 175% FPL on sliding scale,"yes, assets are taken into account for eligibility according to FAP",unsure-- patients whose family income exceeds 175% are considered on case by case basis based on catastrophic illness or medical indigence,no,unclear ; not mentioned in billing policy,"yes, outside agencies may help resolve accounts according to billing and collections policy",no,"yes, conditionally according to billing and collections policy","yes, conditionally according to billing and collections policy",no,
COOKEVILLE REGIONAL MEDICAL CENTER,COOKEVILLE,,TN,,1 MEDICAL CENTER BOULEVARD,"City, Government, non-federal",No,243,"yes-- under patient and visitors tab ""patient financial services""",yes,https://www.crmchealth.org/patients-visitors/financial-services/,no,family income at or below 100% FPL,family income 101-300% FPL on sliding scale ,unsure-- missing information,"yes, ""Amount of total patient liability for patients at 200% of the poverty level or below will not exceed 10% of total household income."" according to charity care policy on website","yes, must live in CRMC service area (list of counties included listed on website in charity care policy)",Unclear; no avaliable policy,yes according to charity care policy ,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,
TRISTAR HENDERSONVILLE MEDICAL CENTER,HENDERSONVILLE,,TN,,355 NEW SHACKLE ISLAND RD,"Corporation, Investor-owned, for-profit",HCA Healthcare,125,No,"no, search bar brings up confusing results.",no pdf link to policy. Information about their policy provided at: https://tristarhealth.com/patient-financial/charity-policy ,no,"Emergency care for patients with income under 200% of FPL, according to HCA Patient Financial Support summary","Emergency care for patients 200-400% of FPL, according to HCA Patient Financial Support summary","No, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA charity care policy, but patient liability is capped at 4% of income, according to HCA spokesman Harlow Sumerford","No, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but is a policy of the hospital, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford",
TRISTAR SOUTHERN HILLS MEDICAL CENTER,NASHVILLE,,TN,,391 WALLACE RD,"Corporation, Investor-owned, for-profit",HCA Healthcare,87,No,"no, search bar brings up confusing results.",no pdf link to policy. Information about their policy provided at: https://tristarhealth.com/patient-financial/charity-policy ,no,"Emergency care for patients with income under 200% of FPL, according to HCA Patient Financial Support summary","Emergency care for patients 200-400% of FPL, according to HCA Patient Financial Support summary","No, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA charity care policy, but patient liability is capped at 4% of income, according to HCA spokesman Harlow Sumerford","No, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but is a policy of the hospital, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford",
TROUSDALE MEDICAL CENTER,HARTSVILLE,,TN,,500 CHURCH STREET,"Corporation, Investor-owned, for-profit",LifePoint Health,25,no,no,no,no,"Below 200% FPL

No public policy, but is below 200% FPL, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","Yes, according to financial assistance application","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","Yes, no public policy, but is a practice of the hospital, according to Michelle Augusty","Yes, no public policy, but is a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty",
WILLIAMSON MEDICAL CENTER,FRANKLIN,,TN,,4321 CAROTHERS PARKWAY,"County, Government, non-federal",No,203,no,yes,https://15hrf219kzvy2og5a418lwww-wpengine.netdna-ssl.com/wp-content/uploads/2022/05/CHARITY-POLICY-UPDATE-5-1-22.pdf,Not publicly available,family income at or below 100% FPL,family income above 100% - less than or equal to 250% FPL on sliding scale,"yes, assets are taken into account according to FAP","with catastrophic medical event, based on patient's annual income will be responsible for paying 15-30% of gross annual income (page 4)","must be U.S. citizen or legal immigrant ; For scheduled procedures, the patient must live within 60 miles of Williamson Medical
Center",Not mentioned in the policy but is a practice of the hospital according to Michele Simpson,Not mentioned in the policy but is a practice of the hospital (as a last resort effort) according to Michele Simpson,Not mentioned in the policy but is not a practice of the hospital according to Michele Simpson,Not mentioned in the policy but is a practice of the hospital (as a last resort effort) according to Michele Simpson,Not mentioned in the policy but is a practice of the hospital (as a last resort effort) according to Michele Simpson,Not a practice of the hospital according to the hospital website (https://williamsonmedicalcenter.org/patients-visitors/patient-information/patient-financial-information/),
MAURY REGIONAL HOSPITAL,COLUMBIA,,TN,,1224 TROTWOOD AVE,"County, Government, non-federal",Maury Regional Health,208,"no, patient information --> billing and insurance --> financial assistance","no, no search bar",https://www.mauryregional.com/media/file/Financial%20Assistance%20Policy%2010%2001%2021.pdf,some collection actions mentioned in FAP,gross family income at or below 100% FPL,"gross family income 101-250% FPL, on sliding scale","yes, assets are considered for eligibility","yes, for patients at or below 250% FPL with expenses exceeding 20% FPL, charges will be discounted to 20% family income ; patients 251-400% FPL with expenses exceeding 30% FPL, charges will be discounted to 30% family income ","US citizen, Amish or Legal Immigrant",yes according to FAP,yes according to FAP,unclear ; not mentioned in policy,yes according to FAP legal action may be taken ,"unclear, not mentioned in policy","no/unclear, not mentioned in policy",
BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY,HUNTINGDON,,TN,,631 RB WILSON DR,Other not-for-profit (including NFP Corporation),Baptist Memorial Health Care Corporation,35,"Yes, bottom of page","Yes, but not the first link",https://drive.google.com/file/d/1feQooC31yJDLAMGmWamKdGLFq1cqPfy5/view?usp=sharing,https://drive.google.com/file/d/1ZKIefNqhpnGD_AyT0duo74zi_5O423r3/view?usp=sharing,Below 200% FPL,200-400% FPL,No,"Not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Kimberly Alexander","Policy is under review, according to Kimberly Alexander",Yes,Yes,"Not mentioned in the billing and collection policy, but not a practice of the hospital, according to Kimberly Alexander",Yes,Yes,"Not mentioned in the billing and collection policy, but not a practice of the hospital, according to Kimberly Alexander",
